Star_ID,ID,Label,X,Y,Z,Luminosity,colorb_v,absmag,appmag,texnum,Distance (light-years),dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,created_at,updated_at,constellation_id,constellation_name,constellation_galaxy
112616,112616,HIP68933 HD123139 Gli The Cen  Menkent,12.9631,-11.0891,7.6226,40.64132,0.902,0.7,2.06,1,60.91,1,53.52,1.48,-1.739,-66.03,12.78,67.278,68933,58:44.8,58:44.8,32,Vertical Part,Cen
109418,109418,HIP65109 HD115892 Gli Iot Cen,10.2755,-12.5011,7.82,19.91708,0.071,1.48,2.75,1,58.59,1,55.64,1.33,-19.2,-23.71,3.308,30.688,65109,58:15.9,58:15.9,33,Upper part,Cen
110112,110112,HIP65936 HD117440 Gli,182.0756,-207.8385,116.3,1921.47278,0.82,-3.48,3.9,1,977.32,2,2.6,28.85,-9.461,-25,1.913,26.798,65936,58:22.1,58:22.1,33,Upper part,Cen
111396,111396,HIP67464 HD120307 Gli Nu Cen,95.7937,-97.775,49.5121,711.35516,-0.196,-2.41,3.41,1,474.53,1,6.87,11.21,0.611,-28.097,5.965,28.73,67464,58:33.6,58:33.6,33,Upper part,Cen
114632,114632,HIP71352 HD127972 Gli Eta Cen,72.1657,-54.8288,27.1378,812.54993,-0.226,-2.55,2.33,1,308.42,1,10.57,7.85,0,0,0,0,71352,59:03.3,59:03.3,33,Upper part,Cen
116325,116325,HIP73334 HD132200 Gli Kap Cen,133.8574,-87.3548,42.0936,1187.1051,-0.196,-2.96,3.13,1,538.84,1,6.05,12.07,10.452,-25.698,6.9,28.587,73334,59:18.6,59:18.6,33,Upper part,Cen
148172,148172,HIP110991 HD213306 Gli Del Cep,-78.9399,290.6631,2.7895,1658.53198,0.603,-3.32,4.07,1,981.93,1,3.32,17.47,-17.657,-23.346,-8.349,30.439,110991,04:35.5,04:35.5,34,Lower Part,Cep
147179,147179,HIP109857 HD211336 Gli Eps Cep,-5.7295,25.0868,0.1774,10.93942,0.266,2.13,4.18,1,83.89,1,38.86,1.39,-50.561,-14.63,-28.437,59.826,109857,04:25.3,04:25.3,34,Lower Part,Cep
146865,146865,HIP109492 HD210745 Gli Zet Cep  Kurhah,-50.3154,216.8626,6.4725,1696.31812,0.946,-3.35,3.39,1,726.06,1,4.49,11.14,-9.652,-22.464,-5.032,24.962,109492,04:22.3,04:22.3,34,Lower Part,Cep
143205,143205,HIP105199 HD203280 Gli Alp Cep  Alderamin,-2.8178,14.4985,2.3848,18.19395,0.192,1.58,2.45,1,48.77,1,66.84,0.73,-7.591,-13.245,-7.434,16.98,105199,03:42.4,03:42.4,34,Lower Part,Cep
140808,140808,HIP102422 HD198149 Gli Eta Cep,-1.9224,13.9138,2.8941,6.90495,0.902,2.63,3.41,1,46.75,1,69.73,0.7,-32.523,-112.839,6.879,117.634,102422,03:16.9,03:16.9,34,Lower Part,Cep
139661,139661,HIP101093 HD195725 Gli The Cep,-5.454,40.0276,9.9187,27.80552,0.192,1.11,4.21,1,135.61,1,24.04,2.2,-2.324,-3.95,-10.158,11.144,101093,03:03.6,03:03.6,34,Lower Part,Cep
146865,146865,HIP109492 HD210745 Gli Zet Cep  Kurhah,-50.3154,216.8626,6.4725,1696.31812,0.946,-3.35,3.39,1,726.06,1,4.49,11.14,-9.652,-22.464,-5.032,24.962,109492,04:22.3,04:22.3,35,Upper part,Cep
149617,149617,HIP112724 HD216228 Gli Iot Cep,-12.6405,32.8177,3.8051,38.66771,0.902,0.76,3.5,1,115.32,1,28.27,1.84,21.377,-0.981,-14.524,25.863,112724,04:49.5,04:49.5,35,Upper part,Cep
153041,153041,HIP116727 HD222404 Gli Gam Cep  Er Rai,-6.448,11.6362,3.6431,7.67934,0.946,2.51,3.21,1,44.97,1,72.5,0.72,22.435,-39.008,-2.953,45.096,116727,05:27.7,05:27.7,35,Upper part,Cep
143907,143907,HIP106032 HD205021 Gli Bet Cep  Alfirk,-53.3525,168.8107,44.2271,1319.5896,-0.196,-3.08,3.23,1,594.89,1,5.48,8.58,-11.517,-7.544,-3.559,14.22,106032,03:50.5,03:50.5,35,Upper part,Cep
